file_id,canonical_path,family_id,path_ids,as_oracle_association_ids,as_schedule_association_ids,oracle_test_case_ids,schedule_test_case_ids,mpp_xml_pair_ids,equivalence_class_ids,repository_item_ids
F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,FAM010,P0015|P0037|P0061|P0083|P0259|P0281,A0022|A0023|A0024|A0025|A0026,,TC-F0011,,,,
F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,FAM010,P0016|P0038|P0062|P0084|P0260|P0282,A0027|A0028|A0029|A0030|A0031,,TC-F0012,,,,
F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,FAM010,P0017|P0039|P0063|P0085|P0261|P0283,A0032|A0033|A0034|A0035|A0036,,TC-F0013,,,,
F0014,ref1/.mpp test files/2-3-4-5/TP1 - Detailed Metric Report.xlsx,FAM010,P0018|P0040|P0064|P0086|P0262|P0284,A0037,,TC-F0014,,,,
F0015,ref1/.mpp test files/2-3-4-5/TP1 - Metric History Report.xlsx,FAM010,P0019|P0041|P0065|P0087|P0263|P0285,A0038,,TC-F0015,,,,
F0016,ref1/.mpp test files/2-3-4-5/TP1 - Quick Add Metrics.xlsx,FAM010,P0020|P0042|P0066|P0088|P0264|P0286,A0039,,TC-F0016,,,,
F0017,ref1/.mpp test files/2-3-4-5/TP23- Detailed Metric Report.xlsx,FAM010,P0021|P0043|P0067|P0089|P0265|P0287,A0040|A0041,,TC-F0017,,,,
F0018,ref1/.mpp test files/2-3-4-5/TP23- Metric History Report.xlsx,FAM010,P0022|P0044|P0068|P0090|P0266|P0288,A0042|A0043,,TC-F0018,,,,
F0019,ref1/.mpp test files/2-3-4-5/TP23- Quick Add Metrics.xlsx,FAM010,P0023|P0045|P0069|P0091|P0267|P0289,A0044|A0045,,TC-F0019,,,,
F0020,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v1.mpp,FAM011,P0024|P0046|P0070|P0092|P0268|P0290|P0368|P0382|P0408,,,,,MX001,,
F0021,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp,FAM011,P0025|P0047|P0071|P0093|P0269|P0291|P0370|P0384|P0410,,A0022|A0027|A0032,,TC-F0011|TC-F0012|TC-F0013,MX002,,
F0022,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.zip,FAM011,P0026|P0072|P0270,,,,,,,
F0023,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v3.mpp,FAM011,P0048|P0051|P0094|P0097|P0292|P0295|P0372|P0386|P0412,,A0023|A0028|A0033,,TC-F0011|TC-F0012|TC-F0013,MX003,,
F0024,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v4.mpp,FAM011,P0049|P0052|P0095|P0098|P0293|P0296|P0374|P0388|P0414,,A0024|A0029|A0034,,TC-F0011|TC-F0012|TC-F0013,MX004,,
F0025,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v5.mpp,FAM011,P0050|P0053|P0096|P0099|P0294|P0297|P0376|P0390|P0416,,A0025|A0030|A0035,,TC-F0011|TC-F0012|TC-F0013,MX005,,
F0026,ref1/.mpp test files/EVM/EVM - Quick Add Metrics.docx,FAM001,P0100|P0103|P0299|P0302,,,,,,,
F0027,ref1/.mpp test files/EVM/EVM- Metric History Report.xlsx,FAM001,P0101|P0104|P0300|P0303,A0046|A0047,,TC-F0027,,,,
F0028,ref1/.mpp test files/EVM/EVM- Metric History Report.zip,FAM001,P0102|P0301,,,,,,,
F0029,ref1/.mpp test files/EVM/EVM.afw,FAM001,P0105|P0110|P0304|P0309,A0048|A0049,,TC-F0029,,,,
F0030,ref1/.mpp test files/EVM/EVM1 Forensic Analysis Report.xlsx,FAM001,P0106|P0111|P0305|P0310,A0050|A0051,,TC-F0030,,,,
F0031,ref1/.mpp test files/EVM/EVM1- Quick Add Metrics .xlsx,FAM001,P0107|P0112|P0306|P0311,A0052|A0053,,TC-F0031,,,,
F0032,ref1/.mpp test files/EVM/EVM1.mpp,FAM001,P0113|P0314|P0355|P0395,,A0046|A0048|A0050|A0052|A0054|A0056,,TC-F0027|TC-F0029|TC-F0030|TC-F0031|TC-F0033|TC-F0035,,,
F0033,ref1/.mpp test files/EVM/EVM2 - Quick Add Metrics.xlsx,FAM001,P0108|P0114|P0307|P0312,A0054|A0055,,TC-F0033,,,,
F0034,ref1/.mpp test files/EVM/EVM2.mpp,FAM001,P0115|P0315|P0356|P0396,,A0047|A0049|A0051|A0053|A0055|A0057,,TC-F0027|TC-F0029|TC-F0030|TC-F0031|TC-F0033|TC-F0035,,,
F0035,ref1/.mpp test files/EVM/EVM3- Detailed Metric Report.xlsx,FAM001,P0109|P0116|P0308|P0313,A0056|A0057,,TC-F0035,,,,
F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,FAM003,P0117,,A0058|A0060|A0062|A0064|A0066|A0067|A0138|A0140,,TC-F0037|TC-F0038|TC-F0039|TC-F0040|TC-F0041|TC-F0042|TC-F0139|TC-F0140,,,
F0037,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Fuse Analysis Report.xlsx,FAM003,P0118,A0058|A0059,,TC-F0037,,,,
F0038,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Metric History Report.xlsx,FAM003,P0119,A0060|A0061,,TC-F0038,,,,
F0039,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Quick Add Metrics .xlsx,FAM003,P0120,A0062|A0063,,TC-F0039,,,,
F0040,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Summary Metric Report.xlsx,FAM003,P0121,A0064|A0065,,TC-F0040,,,,
